Ticker,CCASS ID,Date,Shareholding,% of Total Issued Shares/Warrants/Units,DoD Change
24,B01392,2020/08/24,150000,0.002934489152444185,0.0
24,B01678,2020/08/24,150000,0.002934489152444185,0.0
24,B01212,2020/08/24,146000,0.0028562361083790066,0.0
24,,2020/08/24,145215,0.002840878948481215,0.0
24,B01715,2020/08/24,140000,0.002738856542281239,0.0
24,B01732,2020/08/24,136000,0.002660603498216061,0.0
24,B01240,2020/08/24,131611,0.0025747403456155443,0.0
24,B01523,2020/08/24,130000,0.0025432239321182943,0.0
24,B01724,2020/08/24,130000,0.0025432239321182943,0.0
24,B01768,2020/08/24,130000,0.0025432239321182943,0.0
24,B01253,2020/08/24,129800,0.0025393112799150346,0.0
24,B01559,2020/08/24,128000,0.002504097410085705,0.0
24,B01779,2020/08/24,128000,0.002504097410085705,0.0
24,B01376,2020/08/24,124000,0.0024258443660205263,0.0
24,B01144,2020/08/24,120000,0.0023475913219553482,0.0
24,B01708,2020/08/24,112000,0.002191085233824992,0.0
24,B01259,2020/08/24,100110,0.001958478060341249,0.0
24,B01265,2020/08/24,100000,0.0019563261016294566,0.0
24,B01322,2020/08/24,100000,0.0019563261016294566,0.0
24,B01454,2020/08/24,100000,0.0019563261016294566,0.0
24,B01481,2020/08/24,100000,0.0019563261016294566,0.0
24,B01579,2020/08/24,100000,0.0019563261016294566,0.0
24,B01680,2020/08/24,100000,0.0019563261016294566,0.0
24,B02047,2020/08/24,100000,0.0019563261016294566,0.0
24,B01459,2020/08/24,98000,0.0019171995795968675,0.0
24,B01192,2020/08/24,92400,0.001807645317905618,0.0
24,B01271,2020/08/24,89200,0.001745042882653475,0.0
24,B02102,2020/08/24,78000,0.0015259343592709765,0.0
24,B01421,2020/08/24,70000,0.0013694282711406195,0.0
24,B01660,2020/08/24,70000,0.0013694282711406195,0.0
24,B02120,2020/08/24,70000,0.0013694282711406195,0.0
24,B01444,2020/08/24,67600,0.0013224764447015128,0.0
24,B01401,2020/08/24,60000,0.0011737956609776741,0.0
24,B01552,2020/08/24,60000,0.0011737956609776741,0.0
24,B01679,2020/08/24,60000,0.0011737956609776741,0.0
24,B01777,2020/08/24,60000,0.0011737956609776741,0.0
24,B01922,2020/08/24,51624,0.0010099337867051903,0.0
24,B01546,2020/08/24,50000,0.0009781630508147283,0.0
24,B01787,2020/08/24,50000,0.0009781630508147283,0.0
24,B01831,2020/08/24,50000,0.0009781630508147283,0.0
24,B01941,2020/08/24,50000,0.0009781630508147283,0.0
24,B01710,2020/08/24,44000,0.0008607834847169611,0.0
24,B01641,2020/08/24,40000,0.0007825304406517826,0.0
24,B01651,2020/08/24,40000,0.0007825304406517826,0.0
24,B01576,2020/08/24,35200,0.0006886267877735687,0.0
24,B01472,2020/08/24,33000,0.0006455876135377206,0.0
24,B02112,2020/08/24,33000,0.0006455876135377206,0.0
24,B01566,2020/08/24,32000,0.0006260243525214262,0.0
24,B01721,2020/08/24,24000,0.0004695182643910696,0.0
24,B01280,2020/08/24,22000,0.00043039174235848053,0.0
24,B01213,2020/08/24,21000,0.00041082848134218585,0.0
24,B01636,2020/08/24,20000,0.0003912652203258913,0.0
24,B01761,2020/08/24,16000,0.00031301217626071305,0.0
24,B01848,2020/08/24,16000,0.00031301217626071305,0.0
24,B01527,2020/08/24,11000,0.00021519587117924024,0.0
24,B01767,2020/08/24,11000,0.00021519587117924024,0.0
24,B01794,2020/08/24,11000,0.00021519587117924024,0.0
24,B01575,2020/08/24,10018,0.00019598474886123896,0.0
24,B01158,2020/08/24,10000,0.00019563261016294564,0.0
24,B01404,2020/08/24,10000,0.00019563261016294564,0.0
24,B01462,2020/08/24,10000,0.00019563261016294564,0.0
24,B01813,2020/08/24,8000,0.00015650608813035652,0.0
24,B02019,2020/08/24,8000,0.00015650608813035652,0.0
24,B01645,2020/08/24,6000,0.0001173795660977674,0.0
24,B01620,2020/08/24,2000,3.912652203258913e-05,0.0
24,B01963,2020/08/24,2000,3.912652203258913e-05,0.0
412,B01130,2020/08/24,6870088084,28.519151670176814,0.0
412,B01627,2020/08/24,5491784350,22.797528780207912,0.0
412,B01962,2020/08/24,5320006000,22.084441443131094,0.0
412,B01143,2020/08/24,1260408684,5.232216237389944,0.0
412,B01938,2020/08/24,646072800,2.6819813585924046,0.0
412,B01857,2020/08/24,520680650,2.1614526986429032,-0.0062268091736541464
412,B01086,2020/08/24,386470790,1.604319907014318,-0.009962894677847167
412,C00010,2020/08/24,382501360,1.5878419849221983,0.0
412,B01493,2020/08/24,308454480,1.2804581238125392,0.0
412,B01939,2020/08/24,105284096,0.43705598320847616,0.0
412,B01209,2020/08/24,90095828,0.37400635219892814,0.01392314531229133
412,B01897,2020/08/24,89500000,0.3715329473613813,-0.0041844157646958036
412,C00033,2020/08/24,88817364,0.3686991846233368,0.0
412,B02159,2020/08/24,72564000,0.30122812058470694,0.0016687848585393295
412,C00019,2020/08/24,68552315,0.2845747892781657,0.0008219388109223513
412,B01416,2020/08/24,57912340,0.24040605998652986,0.0
412,C00088,2020/08/24,46104000,0.19138720676144275,0.0
412,B01148,2020/08/24,43189312,0.1792877361102824,-0.010759926252074892
412,B01955,2020/08/24,40098000,0.1664550628301304,0.009439842707260143
412,B01826,2020/08/24,37602000,0.1560936523651694,0.0
