% of Total Issued Shares/Warrants/Units,CCASS ID,Date,DoD Change,Shareholding,Ticker
0.0,B01372,2020/07/20,0.0,"9,100",9988
0.0,B01981,2020/07/20,0.0,"8,803",9988
27.23,C00019,2020/07/20,0.010000000000001563,"2,602,575,504",700
11.17,C00100,2020/07/20,-0.009999999999999787,"1,067,442,907",700
5.43,C00010,2020/07/20,0.0,"518,890,694",700
4.54,C00039,2020/07/20,-0.009999999999999787,"434,689,756",700
3.77,B01274,2020/07/20,-0.009999999999999787,"361,162,750",700
3.77,B01451,2020/07/20,-0.009999999999999787,"360,300,847",700
2.86,B01161,2020/07/20,0.009999999999999787,"273,942,346",700
2.09,A00003,2020/07/20,-0.010000000000000231,"200,471,704",700
1.47,B01130,2020/07/20,0.0,"140,652,329",700
1.26,C00093,2020/07/20,0.0,"121,289,564",700
1.19,C00074,2020/07/20,-0.020000000000000018,"114,315,244",700
1.01,A00004,2020/07/20,0.0,"96,939,811",700
0.28,C00033,2020/07/20,0.0,"27,464,907",700
0.23,B01224,2020/07/20,0.010000000000000009,"22,506,085",700
0.2,B01565,2020/07/20,0.0,"19,582,958",700
0.2,B01955,2020/07/20,0.010000000000000009,"19,276,143",700
0.19,B01590,2020/07/20,0.0,"19,019,570",700
0.15,C00042,2020/07/20,0.0,"14,545,250",700
0.07,B01089,2020/07/20,0.0,"7,378,989",700
0.06,C00016,2020/07/20,0.0,"6,571,917",700
0.06,B01901,2020/07/20,0.0,"6,151,868",700
0.06,B01376,2020/07/20,0.0,"6,120,530",700
0.05,C00015,2020/07/20,0.0,"5,560,231",700
0.05,B01491,2020/07/20,0.010000000000000002,"5,230,212",700
0.05,B01148,2020/07/20,0.0,"4,918,100",700
0.04,B01086,2020/07/20,0.0,"4,169,588",700
0.04,C00003,2020/07/20,0.0,"3,921,065",700
0.03,C00088,2020/07/20,0.0,"3,666,077",700
0.03,B01413,2020/07/20,0.0,"3,331,455",700
0.03,C00028,2020/07/20,0.0,"3,232,070",700
0.03,B01143,2020/07/20,0.0,"3,143,649",700
0.03,C00036,2020/07/20,0.0,"2,955,797",700
0.02,C00037,2020/07/20,0.0,"2,856,647",700
0.02,B01353,2020/07/20,0.0,"2,690,652",700
0.02,B01581,2020/07/20,0.0,"2,566,490",700
0.02,B01654,2020/07/20,0.0,"2,379,429",700
0.02,B01345,2020/07/20,0.0,"2,342,456",700
0.02,B01842,2020/07/20,0.0,"2,090,463",700
0.02,B01777,2020/07/20,0.0,"2,065,450",700
